,Dataset,Start age,End age,sex,Gene,dExpression,Expression at start age,Expression at end age,Max expression std. dev,Confidence (p-value)
121,facs,18m,24m,male,Col1a2,2.2222280502319336,0.00018581807671580464,8.361791697097942e-05,0.0009168311371468008,2.123238553043222e-31
122,facs,18m,24m,male,Col3a1,2.2132532596588135,0.00017210206715390086,7.775977428536862e-05,0.0009349057800136507,1.2112859932574036e-25
123,facs,18m,24m,male,Mup3,2.2104506492614746,0.00016986993432510644,7.684855518164113e-05,0.0013508903793990612,1.3269082383312042e-09
124,facs,18m,24m,male,Pllp,2.210404396057129,9.937788126990199e-05,4.495913890423253e-05,0.0004408621462062001,3.766642269284039e-34
125,facs,18m,24m,male,Rbm15,2.196399211883545,2.1056917830719613e-05,9.5870163931977e-06,0.0001065456890501082,5.78882153190293e-12
126,facs,18m,24m,male,Ehd3,2.18947172164917,6.150660919956863e-05,2.8091984859202057e-05,0.00047534710029140115,5.7874335327388334e-09
127,facs,18m,24m,male,Fbxl12,2.13629150390625,3.253254544688389e-05,1.5228512893372681e-05,0.0002475333749316633,7.158615838681722e-08
128,facs,18m,24m,male,Rbm3,2.1330878734588623,0.00010077444312628359,0.00021496073168236762,0.00032076219213195145,0.0
129,facs,18m,24m,male,Vcan,2.1303141117095947,2.233310806332156e-05,1.0483479854883626e-05,0.00014178085257299244,1.8369323946608907e-08
130,facs,18m,24m,male,Lgals7,2.1265368461608887,0.0003376585082150996,0.00015878328122198582,0.0019008825765922666,1.218944908979614e-22
131,facs,18m,24m,male,Cxcr6,2.119124412536621,2.9818122129654512e-05,6.318831583485007e-05,0.0005483405548147857,3.351126239614525e-08
132,facs,18m,24m,male,Fpr1,2.1018903255462646,2.914716606028378e-05,1.3867119378119241e-05,0.00021325668785721064,2.2372022754543564e-07
133,facs,18m,24m,male,Plvap,2.0798137187957764,0.000241227971855551,0.00011598537093959749,0.0014336130116134882,3.185513622583923e-17
134,facs,18m,24m,male,Wfdc1,2.077960968017578,9.117779700318351e-05,4.3878495489479974e-05,0.0004685317981056869,4.0843798971622825e-20
135,facs,18m,24m,male,Ccl2,2.0710010528564453,0.00011098550021415576,0.00022985109535511583,0.00212640268728137,2.31794036297872e-08
136,facs,18m,24m,male,Cdx1,2.065960645675659,5.754371886723675e-05,2.7853247956954874e-05,0.00027078777202405035,4.180996302763815e-25
137,facs,18m,24m,male,Atp5k,2.0593369007110596,2.52384998020716e-05,1.2255643014214002e-05,0.00013574793410953134,1.845123597488657e-10
138,facs,18m,24m,male,Tgtp1,2.0588691234588623,1.453411368856905e-05,2.9923839974799193e-05,0.00020462644170038402,3.0921882918007525e-12
139,facs,18m,24m,male,Fcer2a,2.0537617206573486,8.542818250134587e-05,4.159595482633449e-05,0.00045321532525122166,8.805395817026961e-20
140,facs,18m,24m,male,Erdr1,2.0497612953186035,2.4028409825405106e-05,1.1722539966285694e-05,0.00015198443725239486,2.9604161792878167e-08
141,facs,18m,24m,male,Slc26a10,2.0441551208496094,1.5207994692900684e-05,3.108750388491899e-05,0.0002938497345894575,3.602947130670656e-07
142,facs,18m,24m,male,Gtf2h4,2.042632818222046,4.488529157242738e-05,2.1974232367938384e-05,0.0002806612174026668,3.3301789642788886e-13
143,facs,18m,24m,male,Tbx3,2.021343469619751,2.3235465050674975e-05,1.1495058970467653e-05,0.00013271268107928336,2.5856971713635534e-08
144,facs,18m,24m,male,Ins1,2.010870933532715,0.0023453477770090103,0.0011663342593237758,0.019414393231272697,1.0052400274030002e-06
145,facs,18m,24m,male,Gpr182,2.0077810287475586,7.291080692084506e-05,3.6314122553449124e-05,0.00046772166388109326,2.6627919164168378e-11
146,facs,18m,24m,male,Rps25,2.0072853565216064,0.0003075267595704645,0.00015320529928430915,0.0017164977034553885,3.104001251373608e-22
147,facs,18m,24m,male,Lrp4,2.0044569969177246,3.229815047234297e-05,1.6113164747366682e-05,0.0002136766561307013,3.2675919880781342e-09
148,facs,18m,24m,male,Cdo1,2.002039909362793,6.114870484452695e-05,3.054320040973835e-05,0.00038875563768669963,1.280637420828629e-11
