,dataset,start_age,end_age,sex,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value
1547,facs,3m,18m,male,Ss18,-1.030541181564331,6.858402048237622e-05,3.357369496370666e-05,0.00020340990158729255,6.748212827776899e-63
1548,facs,3m,18m,male,Fam20b,-1.0299899578094482,3.0800827516941354e-05,1.5083581274666358e-05,0.0001107087591663003,3.5109716927204877e-23
1549,facs,3m,18m,male,Pvr,-1.0299677848815918,3.6244182410882786e-05,1.7749538528732955e-05,0.00014797465701121837,7.092732433593756e-27
1550,facs,3m,18m,female,C1qtnf7,-1.029637098312378,2.8640113669098355e-05,1.4028883015271276e-05,0.0001363651972496882,2.2930148852662203e-16
1551,facs,3m,18m,male,Spry1,-1.0294920206069946,3.8900434446986765e-05,1.905664430523757e-05,0.00014664483023807406,2.893940008493802e-28
1552,facs,3m,18m,male,C2cd3,-1.0294169187545776,1.9418906958890148e-05,9.513480108580552e-06,9.813428914640099e-05,6.235573639192126e-08
1553,facs,3m,18m,female,Sdhc,1.0291694402694702,7.791813550284132e-05,0.0001590191386640072,0.000473449588753283,1.3029680941750386e-101
1554,facs,3m,18m,male,Med16,-1.0291470289230347,4.28492967330385e-05,2.0996143575757742e-05,0.00014964505680836737,3.3725720384412025e-35
1555,facs,3m,18m,male,Fbxl17,-1.0284701585769653,2.4761504391790368e-05,1.2138825695728883e-05,0.00012385568697936833,2.890138853555757e-10
1556,facs,3m,18m,male,Socs6,-1.0281598567962646,1.5576686564600095e-05,7.63779735279968e-06,6.865099567221478e-05,4.504008909228464e-06
1557,facs,3m,18m,female,Sdc3,1.0281370878219604,2.5127543267444707e-05,5.12448423251044e-05,0.0004598958767019212,5.207872523816849e-08
1558,facs,3m,18m,male,Etv5,-1.0279574394226074,2.4978098736028187e-05,1.224935840582475e-05,0.0001387369557050988,1.4570469306424945e-11
1559,facs,3m,18m,male,Aif1,1.027911901473999,3.6281759093981236e-05,7.39810784580186e-05,0.0002409039152553305,8.498673762760309e-51
1560,facs,3m,18m,male,Birc2,-1.0276132822036743,2.82885848719161e-05,1.3876143384550232e-05,0.00013012587442062795,5.656052953265642e-17
1561,facs,3m,18m,male,Fbp1,1.0272482633590698,3.649583231890574e-05,7.43833661545068e-05,0.0005391523591242731,3.920883813293766e-09
1562,facs,3m,18m,female,Chd3,1.0269529819488525,8.547001016268041e-06,1.741635969665367e-05,9.063664765562862e-05,9.845028270944455e-07
1563,facs,3m,18m,female,Islr,-1.0268478393554688,0.000178838730789721,8.777070615906268e-05,0.000576949620153755,1.749595874430198e-65
1564,facs,3m,18m,male,Klf15,-1.026629090309143,2.0502515326370485e-05,1.0063777153845876e-05,0.00010952756565529853,7.64881983007943e-09
1565,facs,3m,18m,male,Usp38,-1.0264537334442139,2.0240509911673144e-05,9.936376955010928e-06,9.822598804021254e-05,7.656385220991153e-10
1566,facs,3m,18m,male,Cnot6,-1.025793433189392,2.6746036382974125e-05,1.313605116592953e-05,0.0001130992968683131,3.36070343553132e-17
1567,facs,3m,18m,male,Tmed9,1.0257879495620728,0.00015266133414115757,0.00031082931673154235,0.00048063500435091555,3.015279380131873e-291
1568,facs,3m,18m,male,Xrcc5,-1.0248634815216064,1.9783368770731613e-05,9.72267116594594e-06,8.701735350769013e-05,1.2532896698279446e-10
1569,facs,3m,18m,male,Ssbp4,1.0247646570205688,4.398854071041569e-05,8.950029587140307e-05,0.0002534716040827334,5.278451709533065e-74
1570,facs,3m,18m,male,Eif4g2,-1.024678349494934,0.000176967034349218,8.69828145368956e-05,0.00030652398709207773,1.750588253399483e-198
1571,facs,3m,18m,male,Lztr1,-1.0245252847671509,3.599851334001869e-05,1.7695860151434317e-05,0.00013605137064587325,5.90511506914156e-26
1572,facs,3m,18m,female,Tfcp2l1,-1.0243228673934937,2.776536530291196e-05,1.3650592336489353e-05,0.0001446349488105625,2.2128177268915214e-13
1573,facs,3m,18m,male,Mtap6,-1.0242770910263062,1.6873211279744282e-05,8.295825864479411e-06,8.738154429011047e-05,4.6324486933829735e-06
1574,facs,3m,18m,male,Podn,-1.024167776107788,4.0076567529467866e-05,1.9705399608938023e-05,0.00017872551688924432,1.5020003405493027e-25
1575,facs,3m,18m,male,Arhgef3,-1.0241438150405884,4.219376569380984e-05,2.07467583095422e-05,0.00017038261285051703,1.1350302595238632e-29
1576,facs,3m,18m,male,Ddx5,-1.0236856937408447,0.00052595732267946,0.0002586964110378176,0.0005861945101059973,0.0
1577,facs,3m,18m,male,Shprh,-1.022752046585083,1.8853537767427042e-05,9.279269761464093e-06,9.360908734379336e-05,7.488405096849951e-09
